Салати
Домашно маринована сьомга с ароматна сладко кисела трушия,"Намачкано авокадо, букет от листни салати, цвекло, портокалов дресинг.",250 гр.,"10,80лв."
Салата Цезар,"Микс от айсберг и спанак, пилешко месо или скариди гризини с босилек, поширано яйце, чипс от панчета, пармецан.",350 гр.,"10,20лв."
Салата с канелон и козе сирене,"Печено козе сирене, глазирано с боров мед, орехова бисквитка, микс от зелени салати, круша, авокадо и чери домати, овкусени с балсамов венегрет и редукия от гренадин",350 гр.,"10,80лв."
"Бурата върху мус от пармезан, чери домати, прошуто, пуканки от амарант, микро салата и авокадо.",,350 гр.,"14,40лв."
"Салата от печено цвекло в балсамово тесто и мащерка, ябълка, рукола и спанак подправени с балсамов винегред.",,380 гр.,"7,20лв."
Предястия
Телешки тартар,"Телешко месо от бон филе, прах от патладжан, шалот, каперси(бруноа), мек крем от хрян, пътпъдъчи жълтък, горчица, пясък от магданоз.",160 гр.,"18,60лв."
Терин от гъши дроб с арманяк,"Гъши дроб, чатни от круша, ябълка и сушени боровинки, ароматен хляб, листна салата със сушени плодове и манго темпура.",250 гр.,"17,60лв."
Гъши дроб с еспума от манго,"Гъши дроб на тиган с еспума от манго, крустина от ароматен хляб, киноа с цвекло и смукини.",280 гр.,"17,60лв."
Гьоза със скариди,"Скариди, филаделфия кориандър и маринован джинджър сирирача, лек териаки сос с див лук.",250 гр.,"13,80лв."
Ръчно приготвен ароматен хляб,,,"2,00лв."
Основни
"Стек от бавно печен свински корем, глазиран със свинско Жу, пюре от цвекло, глазирани моркови и Уилямс картоф с диви гъби и пармезан",,450 гр.,"16,80лв."
"Агнешко приготвено на бавен огън, поднесено с булгур и крем от горски гъби, телешки език, печени чушки и патладжани, с агнешки сос.",,420 гр.,"19,80лв."
"Телешки стек с коричка от кашу и манатарка, картофен гретин със смардала и свежи зеленчуци върху демиглас със сушени боровинки",,450 гр.,"32,00лв."
"Пилешко филе в панко пълнено с артишок и крем със сушен домат, сотирани зеленчуци, ризото с лимон, шафран и пътпъдъчи яйца",,450 гр.,"14,20лв"
"Филе от риба с пюре от карамелизиран карфиол, сотирани зеленчуци, конфитирани картофи и рибен сос",,400 гр.,"7,35лв"
Десерти
"Салбайоне с пенливо вино, балсамови ягоди и целувки",,140 гр.,"7,40лв."
"Печен чийз-кейк с тиква, пияни сини сливи и солен карамел",,160 гр.,"7,00лв."
"Бисквитен йогурт с горски плодове и шам фастък",,160 гр.,"7,00лв."
Лавандулов мус с малинов център и бял шоколад,,120 гр.,"7,00лв"
Комбинация от бял и черен шоколадов мус и конфи от сушени плодове,,130 гр.,"7,20лв"
